active,category,subcategory,category_price,number,name,description,price
TRUE,Pizza,Klass 1,137 kr,1,Margherita,"Ost, färsk basilika, mozzarella",
TRUE,Pizza,Klass 1,137 kr,2,Vesuvio,Skinka,
TRUE,Pizza,Klass 1,137 kr,3,Capricciosa,"Skinka, champinjoner",
TRUE,Pizza,Klass 1,137 kr,4,Hawaii,"Skinka, ananas",
TRUE,Pizza,Klass 1,137 kr,5,Bolognese,"Köttfärssås, lök",
TRUE,Pizza,Klass 1,137 kr,6,Salami,"Ventriccina piccante, gröna oliver",
TRUE,Pizza,Klass 1,137 kr,7,Napolitana,"Sardeller, kalamataoliver",
TRUE,Pizza,Klass 2,147 kr,8,Pepperoni,"Mozzarella, pepperonikorv",
TRUE,Pizza,Klass 2,147 kr,9,Gorgonzola,"Skinka, gorgonzola, körsbärstomat",
TRUE,Pizza,Klass 2,147 kr,10,Bussola,"Skinka, handskalade räkor",
TRUE,Pizza,Klass 2,147 kr,11,Prezzemolo,"Handskalade räkor, färsk persilja, vitlök, sambal oelek",
TRUE,Pizza,Klass 2,147 kr,12,Tropicana,"Skinka, banan, ananas, curry",
TRUE,Pizza,Klass 2,147 kr,13,Roma,"Skinka, champinjoner, handskalade räkor",
TRUE,Pizza,Klass 2,147 kr,14,Quattro Stagioni,"Skinka, handskalade räkor, champinjoner, gröna musslor, kronärtskocka, kalamataoliver",
TRUE,Pizza,Klass 2,147 kr,15,Di Pollo,"Kyckling, banan, ananas, curry, jordnötter",
TRUE,Pizza,Klass 2,147 kr,16,Kebab Pizza,"Kebabkött, körsbärstomat, lök, fefferoni, vitlökssås, stark sås",
TRUE,Pizza,Klass 3,155 kr,17,Scampi,"Marinerade scampi, champinjoner, färsk persilja, vitlök, körsbärstomater",
TRUE,Pizza,Klass 3,155 kr,18,Messina Special,"Oxfilé, champinjoner, körsbärstomat, lök, fefferoni, paprika, vitlök, bearnaisesås",
TRUE,Pizza,Klass 3,155 kr,19,Black & White,"Oxfilé, fläskfilé, champinjoner, körsbärstomat, paprika, vitlök, bearnaisesås",
TRUE,Pizza,Klass 3,155 kr,20,Kebab Pizza Special,"Kebabkött, pommes, isbergssallad, körsbärstomater, röd lök, fefferoni, vitlökssås, stark sås",
TRUE,Pizza,Klass 3,155 kr,21,Milano,"Pepperonikorv, äkta grekisk fetaost, körsbärstomat, kalamataoliver, färsk basilika",
TRUE,Pizza,Klass 3,155 kr,22,Husets (gratinerad),"Handskalade räkor, skinka, champinjoner, lök, paprika",
TRUE,Pizza,Klass 3,155 kr,23,La Favorita,"Oxfilé, gorgonzola, champinjoner, körsbärstomater, jalapeño, bearnaisesås",
TRUE,Pizza,Klass 3,155 kr,24,Viking (inbakad),"Kebabkött, isbergssallad, körsbärstomater, fefferoni, vitlökssås, stark sås",
TRUE,Pizza,Klass 3,155 kr,25,Havets Special,"Scampi, kräftstjärtar, gröna musslor, vitlök, rucola, citron, sambal oelek",
TRUE,Pizza,Klass 3,155 kr,26,Tabasco,"Oxfilé, champinjoner, röd lök, körsbärstomater, tabasco, parmigiano reggiano, bearnaisesås",
TRUE,Pizza,Delikates,159 kr,28,Al Prosciutto,"Prosciutto, soltorkade tomater, rucola, parmigiano reggiano",
TRUE,Pizza,Delikates,159 kr,29,Venedig,"Avokado, soltorkade tomater, färsk basilika, paprika, honung, chèvre, valnötter",
TRUE,Pizza,Delikates,159 kr,30,Honung,"Prosciutto, chèvre, rostade valnötter, rucola, pesto rosso",
TRUE,Pizza,Delikates,159 kr,31,Avokado,"Champinjoner, kronärtskocka, handskalade räkor, pinjenötter, rucola, citron",
TRUE,Pizza,Delikates,159 kr,32,Mezza Luna (inbakad/öppen),"Ost, skinka, prosciutto, rucola, parmigiano reggiano, extra virgin olivolja",
TRUE,Pizza,Delikates,159 kr,33,Formaggio,"Mozzarella, äkta grekisk fetaost, gorgonzola, parmigiano reggiano, färsk basilika",
TRUE,Pizza,Delikates,159 kr,34,Kantareller,"Chèvre, rödlök, honung, ventriccina piccante, färsk basilika, pesto rosso",
TRUE,Pizza,Delikates,159 kr,35,Bagarens,"Prosciutto, kronärtskocka, rödlök, körsbärstomater, rucola, parmigiano reggiano",
TRUE,Pizza,Delikates,159 kr,36,Rödbetspizza,"Rödbetor, chèvre, valnötter, sparris, crema di balsamico, rucola",
TRUE,Pizza,Delikates,159 kr,37,Halloumi Pizza,"Halloumi, avokado, valnötter, crema di balsamico, körsbärstomater, rucola",
TRUE,Pizza,Gourmet,168 kr,38,Alle Melanzane,"Rökt aubergineröra, körsbärstomater, champinjoner, finhackad vitlök, kronärtskocka, kalamataoliver, basilika",
TRUE,Pizza,Gourmet,168 kr,39,Diavola,"Färsk salsiccia, röd chili, gorgonzola, körsbärstomater, karamelliserad lök, basilika, svartpeppar",
TRUE,Pizza,Gourmet,168 kr,40,Fikon,"Prosciutto, chèvre, färsk fikon, rostade valnötter, rucola, crema di balsamico",
TRUE,Pizza,Gourmet,168 kr,41,Villa Dante,"Prosciutto, ventriccina piccante, karamelliserad lök, körsbärstomater, champinjoner, pinjenötter, balsamico",
TRUE,Pizza,Gourmet,168 kr,42,Barbeque Pizza,"Oxfilé, soltorkade tomater, champinjoner, röd chili, hackad vitlök, bearnaisesås, barbequesås (utan tomatsås)",
TRUE,Pizza,Mexikanska,,43,Mexicana,"Köttfärssås, lök, jalapeño, vitlök, tacosås, tacokrydda",149 kr
TRUE,Pizza,Mexikanska,,44,Azteka,"Skinka, jalapeño, tacosås, tacokrydda, gräddfil",149 kr
TRUE,Pizza,Mexikanska,,45,Acapulco,"Oxfilé, champinjoner, lök, jalapeño, vitlök, tacosås, tacokrydda",155 kr
TRUE,Pizza,Vegetariska,149 kr,46,Rimini,"Äkta grekisk fetaost, soltorkade tomater, champinjoner, kalamataoliver, färsk basilika",
TRUE,Pizza,Vegetariska,149 kr,47,Vegetarisk,"Champinjoner, lök, körsbärstomater, kalamataoliver, paprika, kronärtskocka, vitlök",
TRUE,Pizza,Vegetariska,149 kr,48,Ortolana,"Champinjoner, aubergine, zucchini, oliver, lök, paprika, körsbärstomater, vitlök",
TRUE,Pizza,Vegetariska,149 kr,49,Pomodoro,"Mozzarella, körsbärstomater, basilika, svartpeppar, kalamataoliver, extra virgin olivolja",
TRUE,Pizza,Inbakade,,50,Calzone,Skinka,137 kr
TRUE,Pizza,Inbakade,,51,Calzone Capri,"Skinka, champinjoner",145 kr
TRUE,Pizza,Inbakade,,52,Calzone Bussola,"Handskalade räkor, skinka",145 kr
TRUE,Pizza,Inbakade,,53,Calzone Special,"Handskalade räkor, skinka, champinjoner",149 kr
TRUE,Pizza,Inbakade,,54,Tefat (dubbelinbakad),"Handskalade räkor, skinka, champinjoner",155 kr
TRUE,Pizza,Inbakade,,55,Super Calzone,"Oxfilé, körsbärstomater, gorgonzola, röd chili, bearnaisesås",155 kr
TRUE,Pizza,Inbakade,,56,Verzino (halv inbakad),"Oxfilé, champinjoner, körsbärstomater, röd chili, rucola, bearnaisesås, vitlök",155 kr
TRUE,Pizza,Pan,,,Dallas,"Oxfilé, champinjoner, körsbärstomater, lök, paprika, bearnaisesås",S 189 kr / M 219 kr
TRUE,Pizza,Pan,,,Alaska,"Fläskfilé, röd chili, champinjoner, vitlök, bearnaisesås",S 189 kr / M 219 kr
TRUE,Pizza,Pan,,,Honolulu,"Skinka, banan, ananas, curry, jordnötter",S 189 kr / M 219 kr
TRUE,Pizza,Pan,,,Arizona,"Oxfilé, gorgonzola, tomater, jalapeño, bearnaisesås",S 189 kr / M 219 kr
TRUE,Pizza,Pan,,,Montana,"Pepperonikorv, basilika, körsbärstomater",S 189 kr / M 219 kr
TRUE,Kebab,,,,Med hembakat bröd,"Kebab, gyros eller falafel i hembakat bröd",115 kr
TRUE,Kebab,,,,Med hembakad rulle,"Kebab, gyros eller falafel i hembakad rulle",139 kr
TRUE,Kebab,,,,Tallrik,"Med pommes, ris eller bulgur",145 kr
TRUE,Pasta,,,1,Bolognese,"Spaghetti med köttfärssås, parmigiano reggiano",155 kr
TRUE,Pasta,,,2,Carbonara,"Tagliatelle, bacon, lök, svartpeppar och äggula toppad med parmigiano reggiano",155 kr
TRUE,Pasta,,,3,Canneloni (vegetarisk),"Gratinerad med västerbottenost, kantareller och parmigiano reggiano",155 kr
TRUE,Pasta,,,4,Delizie (gratinerad),"Med skinka, parmigiano reggiano och zucchini",155 kr
TRUE,Pasta,,,5,Lasagne al Forno,"Gratinerad, hemlagad lasagne",155 kr
TRUE,Pasta,,,6,Pasta con Pomodorini,"Tagliatelle, körsbärstomater, basilika, vitlök, svartpeppar, toppad med färsk mozzarella",155 kr
TRUE,Pasta,,,7,Pasta con Scampi,"Tagliatelle, scampi, vitlök, champinjoner, färsk persilja, svartpeppar, citron, parmigiano reggiano, röd chili",169 kr
TRUE,Pasta,,,8,Pasta con Filetto di Manzo,"Oxfilé, soltorkade tomater, champinjoner, persilja och parmigiano reggiano",169 kr
